input, output
집에 도착했어,Made it home thank God 🏡
잠깐 나가야 돼,Need to run an errand real quick 🏃‍♂️
오늘 하루 별로였어,Today was rough ready to sleep 🛏️
정신없었어,It’s been hectic my mind’s all over the place 🤯
배달 왔어,Food’s here about to eat like a king 🍕
너무 긴 하루였어,Long day but I made it through 💪
지금 바빠,Bossing it up with some tasks 💼
연습 중,Getting my practice in no shortcuts 💪
지금 달리고 있어,On the run catching the vibe 🏃‍♂️
밤 늦게까지 깨어 있었어,Up late grinding no rest 😅
오늘 하루는 길었어,Today’s felt like forever no lie ⏳
이상한 느낌,Feelin’ kinda off not sure why 🤔
침대에 누워 있어,Just posted up in bed chillin’ 🛌
책상에 앉아 있어,Sittin' at the desk work mode on 💻
지금 생각 중,Just deep in thought no distractions 🧠
손목 아파,My wrist’s been hurting need a break 💆‍♂️
미팅 중,In a meeting let’s get this bread 📊
어디 갔어?,Where’d you dip to? Missin’ you 😩
지금 준비 중,Getting ready let’s gooo 🔥
편안한 시간,Feelin’ so relaxed no stress 🧘‍♂️
음악 듣고 있어,Tuning into my jams vibin’ 🎧
급하게 가야 돼,Need to head out ASAP time’s tight ⏰
지금 잠깐 쉬고 있어,Taking a quick break gotta reset ⏳
배터리 떨어졌어,Phone’s about to die send help 📴
강의 듣고 있어,Tuning in to that lecture 📚
집 가는 중,Headin’ home can’t wait to crash 🏡
오늘 뭔가 다른,Something feels off today idk why 😬
다시 시작,Back at it again let’s do this 🔁
오늘은 어땠어?,How’s your day been so far? 👀
친구랑 시간 보내고 있어,Chillin’ with the homies best vibes 👫
다 끝났어,It’s all wrapped up mission complete ✅
지금 진짜 배고파,Starvin’ let’s grab some eats 🍕
친구랑 웃고 있어,Laughing with my friends best moment 😆
초콜릿 먹고 있어,Chillin’ with some chocolate sweet life 🍫
하늘이 너무 예뻐,The sky’s too gorgeous right now 🌅
헤어졌어,Had to say bye sad times 😔
오늘 즐거웠어,Today was lit can’t wait for tomorrow 🔥
내일 봐,See ya tomorrow take care 👋
친구랑 대화 중,Just having a convo with my bestie 💬
운동 끝,Workout done now it’s chill time 🏋️‍♂️
아무 것도 안 하고 있어,Doing absolutely nothing living the dream 🛋️
간식 먹고 있어,Eatin’ a snack living my best life 🍪
모두 바빠,Everyone’s on their grind busy vibes ⏳
정리 중,Getting everything in order organization game strong 📅
음악 끄고 있어,Turning off the tunes focus mode 🎶🚫
바로 가고 있어,On my way no stopping 🚶‍♂️
지금 좀 피곤해,Feelin’ a bit tired need some rest 🛏️
지금 새벽이야,It’s 3 AM I’m still up 🕒
이제 자야겠다,Time to sleep goodnight 💤
지금 급해,In a rush time’s flyin’ ⏱️
다 했어,Got everything done feelin' good ✅
다시 가야 돼,Back on the move no chill 🏃‍♂️
방 정리 중,Cleanin’ up my room adult life 🌪️
오늘은 기분 좋아,Feelin' good today everything's vibin’ ✨
라면 끓여 먹고 있어,Cookin’ up some ramen simple life 🍜
이상한 꿈 꿨어,Had a weird dream last night wtf 😅
어디서 왔어?,Where you at? Where you been? 🌍
지금 생각 중,Got my mind racing deep thoughts 🧠
기다리고 있어,Just waitin' here killin’ time ⏳
학교 가는 중,On my way to school let’s get it 📚
몸이 피곤해,Body’s tired but we pushin’ 🏋️‍♂️
하늘 너무 멋져,The sky’s lookin’ fire today 🌞
얼굴이 부었어,Face’s feelin' puffy not cute 😬
모든 게 잘 돼,Everything’s fallin’ into place 🔥
지금 전화 중,Choppin' it up on the phone 📱
쇼핑 중,On a shopping spree let’s go 💸
노래방 가고 싶어,Wanna hit the karaoke bar let’s sing 🎤
시험 준비 중,Studying hard no distractions 📖
너무 더워,It’s so hot send me a breeze 🌞
TV 보고 있어,Just watchin’ some shows chillin’ 📺
피곤해서 못 가겠어,Too tired to go stayin’ in 🛌
정리 끝,All cleaned up now it’s time to relax 🧹
친구 집 가는 중,On my way to my friend’s place 🏡
배가 고파,Starvin’ for some food 🍔
게임 잘하고 있어,Kicking ass in the game top score 🎮
자기 전,Before I sleep just chillin’ 🛏️
운동하러 가야 돼,Gotta hit the gym let's get fit 🏋️‍♀️
기분 좋다,Feelin’ lit today vibes are on 🔥
집에 도착,Just got home peace out fam 🏠
핸드폰 잠금 해제,Unlocking my phone let’s check the news 📱
여행 가고 싶어,Wanna go on a trip need some adventure ✈️
지금 소리 질러,Shoutin’ out loud feelin’ the energy 🗣️
지금 엄청 바빠,So busy right now no time to waste 🕒
도시에서 놀고 있어,Out in the city livin’ the life 🌆
피곤해서 일찍 자야겠어,Feelin' tired bed calls me early 🛏️
너무 졸려,Sleepy as heck ready to knock out 💤
기분 전환 중,Just switchin’ the vibe let’s go 🎧
어디 갈까?,Where we going next? Let’s roll 🛹
휴식 중,Chillin’ for a bit recharging 🛋️
운동 끝났어,Workout done I’m feeling strong 💪
내일 할 일 많아,Got a packed schedule tomorrow 🗓️
길 막혀,Traffic’s wild right now 🚗
핸드폰 충전 중,Charging up the phone need the juice 🔋
오늘은 피곤해,Today drained me I’m out 💯
날씨 너무 좋다,The weather's so perfect today 🌞
오늘 뭐 할지 모르겠어,Don’t know what to do today vibes are lost 🤷‍♂️
너무 많이 먹었어, Ate way too much feelin’ stuffed 😅
컴퓨터 고장났어,Computer's acting up send help 🖥️
너무 바빠,Life's too hectic right now no chill 🤯
지금 뭐하고 있어?,What’s everyone up to right now? 🤔
헬스장 갔다 왔어,Just came from the gym feelin’ swole 💪
어디 갈까?,Where we headed? Need a plan 🗺️
디지털 노마드처럼 살고 있어,Living that digital nomad life laptop life 💻
너무 피곤해서 못 가겠어,Too tired to go anywhere just staying in 🛌
전공 공부 중,Studying my major gotta stay focused 📚
스타벅스에서 일하고 있어,Workin’ from Starbucks coffee’s my fuel ☕
주말 계획 없어,No weekend plans chill vibes only 🏖️
카페인 부족,Need some coffee stat feeling sluggish ☕
일 끝났어,Work's done now it's time to chill 🕒
새 옷 샀어,Bought new clothes time to flex 👗
기분 좋아,I'm in a good mood today can’t complain 😊
게임이 너무 재밌어,This game’s too good can’t stop playing 🎮
영화 보러 가고 싶어,Wanna go see a movie pop some popcorn 🍿
너무 지루해,Bored outta my mind no fun 💭
핸드폰 켜기,Turning on my phone let’s see the updates 📱
게임에서 이겼어,Won in the game victory feels sweet 🎉
카톡 답장 왔어,Got a reply feeling seen 💬
친구랑 전화했어,Chatted with a friend feeling good 👯‍♂️
오늘은 하루종일 집에 있었어,Stayed home all day not even mad about it 🏡
책 읽는 중,Reading a book getting lost in the pages 📖
운동하고 나서 상쾌해,Feeling fresh after that workout 💦
버스 안에서,On the bus catching up on some stuff 🚎
너무 기대돼,Can’t wait it’s gonna be lit 🔥
상상 이상,More than I imagined really impressed 👏
할 일이 산더미야,So much to do need a time machine ⏳
돈 좀 빌려줘,Can you spot me some cash? 🤑
컴퓨터 고쳤어,Fixed my computer back to work 💻
주말에 뭐 할까?,What should we do this weekend? 🎉
친구들 만나러 가,Heading to meet the squad let’s hang out 👯‍♂️
게임 업데이트했어,Updated my game ready to dive in 🎮
일 끝냈어,Finished work now time to chill 🧘‍♂️
날씨가 차가워졌어,It’s gotten cold time for the sweater 🧣
헬스장 갔다 왔어,Just hit the gym feelin’ good 💪
카페에서 일하고 있어,Working from a café vibin’ ☕
영화 보고 있어,Watching a movie it's a good one 🎬
수면 부족,Sleep’s been lacking need to catch up 🛌
일 끝나고 놀아야지,Done with work let’s go out 🕺
새로운 도전,Starting something new let’s see how it goes 🤞
방 정리 중,Organizing my room adulting is hard 🧹
오늘 힘들었어,Today was rough but I made it 👊
오늘 진짜 재밌었어,Today was fun I had a blast 🎉
오늘 날씨 완전 좋아,The weather’s amazing today pure vibes 🌞
아침 일찍 일어났어,Woke up early feelin’ productive ⏰
그냥 멍때리고 있어,Just zonin’ out lost in my thoughts 🤯
이거 완전 좋아,This is so good can’t get enough 😋
이제 집에 가,Headin’ home now done for the day 🏠
오늘 피곤한 하루였어,Today was a long day ready for bed 😴
그냥 음악 듣고 있어,Just vibin’ to some music chillin’ 🎶
오늘 너무 더워,It’s way too hot can’t deal 🥵
다시 시작,Time to restart let’s get it 🔄
오늘 너무 길었어,Today was so long can’t believe it’s over ⏳
친구들하고 놀고 있어,Hanging with the crew good vibes only 🕺
새로운 영화 봤어,Just saw a new movie it was good 🎥
햇살 좋다,Sun’s out feelin’ good 🌞
친구랑 점심 먹었어,Ate lunch with a friend chill vibes 🍣
집에 가고 있어,On my way home almost there 🏠
시험 결과 받았어,Got the test results it’s a wrap 📈
비가 오네,Rain’s comin’ better bring an umbrella 🌧️
어제 늦게까지 공부했어,Stayed up late studying now I'm drained 📚
간식 먹고 있어,Snackin' on some chips rn can’t stop 🥨
책 읽고 있어,Reading a book it’s pretty interesting 📖
기분 좋아,Feeling good today vibes are high 🌟
운동하고 있어,Getting my workout in grind time 💪
고민 중,Don’t know what to do decisions decisions 🤔
상상도 못할 일이 일어났어,Saw something crazy today can’t believe it 🤯
오늘 날씨 너무 좋다,Weather’s perfect today gotta enjoy it 🌈
배고파서 뭐 먹을지 고민 중,Starvin’ deciding what to munch on 🍔
테스트 끝났어,Test’s over now I can breathe 😌
편의점 갔다왔어,Hit up the convenience store for some snacks 🛍️
침대에 누워 있어,Layin’ in bed feelin’ lazy 🛏️
배가 너무 불러,Can’t eat another bite stuffed 😅
친구 만나러 가는 중,On my way to meet the squad let’s go 👯‍♂️
오늘 너무 힘들어,Today’s been rough but I’ll push through 💪
지금 영화 보러 가는 중,On my way to see a movie hype 🎬
학교 가는 중,Headin’ to school ready to learn 📚
주말엔 뭐 할지 고민 중,Wondering what to do this weekend any ideas? 🤷‍♂️
요즘 너무 바빠,Been so busy lately can’t catch a break 🏃‍♂️
너무 피곤해,Feel so tired today just wanna nap 💤
날씨가 너무 좋아서 밖에 나가고 싶어,It’s so nice outside need to get out 🌤️
새 신발 샀어,Got fresh kicks today drippin' 🔥
시험 공부해야 해,Need to study for the exam no excuses 📝
오늘 너무 지루해,Today’s been so boring nothing to do 🤦‍♀️
친구랑 전화 중,Talkin’ to a friend catching up 📞
지금 게임 중,Playing a game right now on a roll 🎮
배가 아파,My stomach’s acting up not fun 🤢
오랜만에 친구들 만났어,Met up with friends after a long time so good 👫
빨리 끝내고 싶어,Need to finish this fast can’t wait to chill 🏁
배고프다,Starvin’ right now need food ASAP 🍕
숙제 해야 해,Need to do homework but I don’t wanna 😩
아침에 일찍 일어났어,Woke up early today ready to conquer 💪
비가 와서 우산 챙겼어,Rained so I grabbed an umbrella just in case 🌧️
친구랑 운동하고 있어,Working out with my buddy let’s get fit 💪
게임에서 이겼어,Won a game feeling on top of the world 🎮
지금 집에 가는 중,Heading home now it’s been a day 🏡
오늘 기분 좋아,Feeling really good today high-key 🕺
배가 너무 고파,So hungry might eat everything 🍔
지금 외출 중,Out and about doing my thing 🚶‍♂️
하루가 너무 길었어,Today feels like it’s been dragging on ⏳
배가 아프고 힘들어,Stomach’s hurting feeling down 🥲
오늘 너무 힘들었어,Today was hard need some rest 🛏️
지금 일하고 있어,Working right now gotta stay focused 🖥️
노래 듣고 있어,Listening to music it’s the vibe 🎧
오늘 너무 힘들어,Feeling drained today just wanna chill 😴
집에 가는 길,On the way home looking forward to rest 🛋️
배달 왔어,Food’s here time to feast 🍕
새로운 게임 시작했어,Started a new game let’s see how far I get 🎮
기차 타고 있어,On the train going places 🚆
너무 더워서 집에 있어,It’s too hot to go outside chillin’ inside 🌞
이제 집에 가,Headin’ home now done for the day 🏠
친구랑 영화 봤어,Watched a movie with a friend good vibes 🎬
침대에서 뒹굴고 있어,Just rollin’ around in bed lazy vibes 🛏️
일 마치고 집 가는 중,Finished work heading home 🏡
오늘 너무 힘들어,Today was exhausting I need a nap 😴
조금 이따 전화할게,I'll call you later gotta finish something 📞
친구한테 선물 샀어,Bought a gift for my friend feeling generous 🎁
오늘 너무 길었어,Today felt like it lasted forever ⏳
밤새 게임 했어,Played games all night got zero sleep 🕹️
일 끝나고 친구 만날 거야,Meeting a friend after work can’t wait 🤗
좀 더 자고 싶어,Need more sleep five more minutes please 🛌
쉬고 있어,Just chillin’ no rush today 🌞
오늘은 그냥 쉬고 싶어,Just wanna relax today you know? 😌
배고파서 뭐 먹을지 고민 중,Starving thinking about what to eat 🍽️
이제 숙제 해야 해,Time to hit the books gotta study 📚
오늘 날씨 너무 좋다,Weather’s so nice today perfect vibe 🌞
운동하고 나서 피곤해,So tired after that workout need a break 🏋️‍♀️
지금 외출 중,On my way out let’s see where the day takes me 🚶‍♀️
지하철 타고 있어,On the subway moving through the city 🚇
새로운 책 읽고 있어,Reading a new book it’s good so far 📚
버스 놓쳤어,Missed the bus now I’m late ugh 🚌
이제 저녁 먹을 시간,Time for dinner finally 🍽️
친구랑 카페 갔어,Went to a café with a friend chill vibes ☕
너무 바빠,So busy today can’t even take a break 🏃‍♂️
시험 공부해야 해,Need to study for the exam no distractions 📖
오늘 너무 지루해,Today’s been super boring can’t wait for it to end 🤦‍♀️
지금 뭐 해?,What are you up to right now? 😎
오늘 너무 덥다,It’s way too hot today can’t stand it 🥵
지금 전화 중,On the phone right now talk later 📞
휴식 중,Just taking a break recharging 🧘‍♂️
이번 주말에 뭐 할지 고민 중,Wondering what to do this weekend 🗓️
간식 먹고 있어,Snacking on something sweet got that sugar rush 🍩
오늘 피곤해,Feel so tired today need a nap 💤
비 와서 우산 챙겼어,Rainy day grabbed the umbrella 🌧️
새 신발 샀어,Got new shoes today fresh kicks 👟
이제 집에 가고 있어,Headed home can’t wait to chill 🏡
오늘 너무 피곤해,So tired today it’s been a long one 💤
지금 가는 중,On the way almost there 🚶‍♂️
이제 집에 도착,Just got home finally 🏠
시험 결과 받았어,Got the test results back didn’t do great 😬
편의점 갔다왔어,Hit up the convenience store for some snacks 🛍️
친구랑 만나러 가는 중,On the way to meet up with a friend 👯‍♂️
기분 좋아,Feeling good positive vibes all around 😎
아침부터 바빴어,Been busy since morning finally a break 🕓
친구랑 전화 중,Choppin’ it up with a friend 📞
오늘 날씨 너무 좋다,It’s sunny and perfect love it 🌞
너무 피곤해,I'm so drained need to relax 💤
오늘 너무 더워,It’s super hot today can’t deal 🥵
좀 이따 전화할게,Call you later gotta wrap this up 📞
하루 종일 외출했어,Out all day ready for some rest 🛋️
새로운 게임 시작했어,Started a new game let’s see what happens 🎮
친구랑 카페 갔어,Met up with a friend at the café so chill ☕
책 읽고 있어,Reading a book it’s getting interesting 📖
저녁 먹고 있어,Having dinner finally refueling 🍴
새로운 음악 듣고 있어,Listening to new tunes vibin' 🎧
오늘 날씨 너무 춥다,It’s freezing today where’s the warmth? 🥶
핸드폰 충전 중,Charging my phone it’s dying 🔋
친구랑 산책 중,Out for a walk with the homie 🚶‍♂️
집에서 쉬고 있어,Just chillin’ at home no plans 🏠
너무 피곤해서 누워 있어,Dead tired just laying down 🛏️
오늘 친구들 만나러 가,Heading to meet up with friends 👯‍♂️
시험 준비 중,Studying hard for the test wish me luck 📚
새로운 쇼핑몰 갔어,Checked out a new mall got some fresh gear 🛍️
다 끝내고 쉬고 있어,Finished everything now it's time to relax 💆‍♀️
비 오는 날,It’s raining perfect excuse to stay in ☔
오늘 너무 바빠,Today’s been crazy busy but I’m managing 🏃‍♀️
이제 일하러 가,Heading to work let’s get it 💼
오늘은 집에서 푹 쉴 거야,Just taking it easy today at home 🏡
새로운 영화 봤어,Went to the movies it was epic 🎥
오늘 회의 있었어,Had a meeting today got a lot done 📝
친구랑 카페 갔어,Chillin’ with a friend at the café coffee vibes ☕
간식 먹고 있어,Snacking on some cookies sweet life 🍪
새로운 운동 시작했어,Started a new workout let’s get fit 💪
지금 요리 중,Currently cooking smells amazing 👨‍🍳
지금 버스 타고 있어,On the bus getting to my next stop 🚌
친구랑 게임 중,Playing a game with my friend it’s intense 🎮
오늘 힘들었어,Today was tough glad it's over 😩
휴식 중,Just chilling for a bit catching my breath 🧘‍♂️
피곤해서 잠 자러 가,So tired heading to bed 🛏️
새로운 앱 깔았어,Downloaded a new app can’t wait to try it 📱
밤새 게임 했어,Stayed up all night gaming no regrets 😅
오늘 하루 너무 길었어,This day was long but we survived 🕰️
친구랑 전화 중,Chillin’ on the phone with my friend 📞
오늘 뭘 할지 모르겠어,Not sure what to do today any ideas? 🤔
하늘이 너무 예뻐,The sky looks so beautiful today wow 🌅
오늘 하루 너무 빨리 갔어,Today flew by didn’t even notice 🕒
게임 중,Playing some games to unwind 🎮
오늘 일 끝나고 친구 만나,Meeting a friend after work let’s go 👯‍♀️
밥 먹었어,Had some good food feeling full now 🍚
오늘 하루 힘들었어,Today was a struggle but I made it through 💪
오늘 날씨 진짜 좋다,The weather is amazing today perfect vibes 🌞
오늘 피곤해서 일찍 잘 거야,So tired gonna sleep early tonight 💤
지금 집에 가는 중,On my way home almost there 🏠
오늘 시험 봤어,Took a test today hope I did well 🤞
친구랑 영화 봤어,Went to the movies with a friend fun time 🎥
정리 좀 해야겠어,Need to clean up things are getting messy 🧹
시험 공부 중,Studying for that big exam gotta ace it 📖
친구랑 카페 갔어,Met a friend at the café great time ☕
오늘 너무 덥다,It’s way too hot today need some AC 🥵
지금 식사 중,Having a meal finally some food 🍴
친구랑 산책 중,Walking with a friend enjoying the day 🌳
오늘 기분 좋다,Feeling so good today everything’s perfect 😊
지금 외출 중,On my way out ready for the day 🚶‍♂️
오늘 너무 추워,It’s freezing today gotta bundle up 🧣
